content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,is_declining_label,log_impressions_90d,log_clicks_90d,log_sessions_90d,log_ai_sessions_90d,decline_risk_score,priority_rank,reason_code,recommended_action
content_a928cb66d230,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2616.0,19902.0,google,gemini-3-flash-preview,128,0,1,3,3,0,0,3,51,2,11,0,2,50,0,1,117,91-180,4,20,0-30,2000-3500,15000-25000,0.0,4.2,0.0,300.0,0.0,low,page_1,down,-78.0,1,4.859812404361672,0.0,1.3862943611198906,0.0,0.9573571739332085,1,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_7be5f150dc65,client_f369cb89fc,10.0,0.71,HIGH,7.37,keyword article,informational,2481.0,17328.0,google,gemini-3-flash-preview,290,0,1,2,2,0,0,2,53,2,113,0,2,36,0,0,96,91-180,4,20,0-30,2000-3500,15000-25000,0.0,5.9,0.0,200.0,0.0,low,page_1,up,213.9,0,5.673323267171493,0.0,1.0986122886681096,0.0,0.9545909402200287,2,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_c82bc0c24241,client_f369cb89fc,10.0,0.0,LOW,0.0,keyword article,informational,3099.0,21077.0,google,gemini-3-flash-preview,13676,0,3,3,3,0,0,0,87,3,505,0,2,733,0,0,106,91-180,4,8,0-30,2000-3500,15000-25000,0.0,4.3,0.0,0.0,0.0,good,page_1,down,-31.1,1,9.523470868881551,0.0,1.3862943611198906,0.0,0.946277684535808,3,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_87c007fb5c26,client_f369cb89fc,40.0,0.0,LOW,0.0,keyword article,informational,2853.0,19973.0,google,gemini-3-flash-preview,2463,0,1,2,2,0,0,1,88,2,410,0,2,1187,0,0,97,91-180,4,20,0-30,2000-3500,15000-25000,0.0,6.6,0.0,100.0,0.0,moderate,page_1,down,-65.5,1,7.80954132465341,0.0,1.0986122886681096,0.0,0.9431451313211127,4,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_5d77d3077984,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2959.0,17362.0,,gemini-3-flash-preview,68,0,1,3,3,0,0,3,24,3,11,0,1,40,0,1,141,91-180,4,20,0-30,2000-3500,15000-25000,0.0,3.0,0.0,300.0,0.0,low,page_1,down,-72.5,1,4.23410650459726,0.0,1.3862943611198906,0.0,0.942342452493418,5,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_41baf0722ad9,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,informational,1596.0,10665.0,,gpt-4o-mini,3115,0,4,4,4,0,0,1,88,4,276,0,0,322,0,3,275,181-365,5,104,91-180,1000-2000,8000-15000,0.0,12.8,0.0,25.0,0.0,good,striking,stable,-14.3,0,8.044305406990638,0.0,1.6094379124341003,0.0,0.9399513730155478,6,HIGH_DECLINE_RISK | STALE_CONTENT | LOW_CTR | LOW_SEARCH_POSITION | OLDER_CONTENT | LOW_ENGAGEMENT,REVIEW_FOR_REFRESH
content_b5e9e6453511,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,3024.0,23383.0,google,gemini-3-flash-preview,157,0,1,2,2,0,0,2,68,2,31,0,1,56,0,1,117,91-180,4,20,0-30,2000-3500,15000-25000,0.0,6.1,0.0,200.0,0.0,low,page_1,down,-44.6,1,5.062595033026967,0.0,1.0986122886681096,0.0,0.9338885347129999,7,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_e988c1699454,client_8527a891e2,30.0,0.0,LOW,0.0,keyword article,informational,1353.0,8916.0,,gpt-4o-mini,2197,0,4,4,4,0,0,2,87,3,419,0,0,744,0,1,275,181-365,5,104,91-180,1000-2000,8000-15000,0.0,21.5,0.0,50.0,0.0,moderate,page_3_5,down,-43.7,1,7.6953031349635665,0.0,1.6094379124341003,0.0,0.9333148457452762,8,HIGH_DECLINE_RISK | STALE_CONTENT | LOW_CTR | LOW_SEARCH_POSITION | OLDER_CONTENT | LOW_ENGAGEMENT,REVIEW_FOR_REFRESH
content_11a4f985f14d,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2466.0,17529.0,google,gemini-3-flash-preview,17713,3,4,4,4,0,0,1,88,4,1073,0,2,6696,3,2,95,91-180,4,20,0-30,2000-3500,15000-25000,0.02,3.7,0.0,25.0,0.0,good,page_1,down,-84.0,1,9.782110566369528,1.3862943611198906,1.6094379124341003,0.0,0.9306510912385333,9,HIGH_DECLINE_RISK | LOW_CTR | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
content_96dba8ca02c1,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2850.0,17175.0,,gemini-3-flash-preview,138,0,1,2,2,0,0,2,70,1,35,0,2,52,0,0,141,91-180,4,8,0-30,2000-3500,15000-25000,0.0,14.6,0.0,200.0,0.0,low,striking,down,-32.7,1,4.9344739331306915,0.0,1.0986122886681096,0.0,0.9301071930466135,10,HIGH_DECLINE_RISK | LOW_CTR | LOW_SEARCH_POSITION | LOW_ENGAGEMENT,HIGH_PRIORITY_REVIEW
